category_code,category_name,category_description,ytd_sales,avg_price,frequency
20100,Groceries,Groceries & other food items for human consumption off the premises,645921455,2,0.6669
20140,Liquor,"Packaged liquor, wine, & beer",85429937,10,0.0176
20150,Tobacco,"Cigars, cigarettes, tobacco, & smokers' accessories, excl sales from vending machines operated by others",69208152,6,0.0238
20160,Health,"Drugs, health aids, beauty aids, incl cosmetics",464684628,12,0.0800
20180,Household,"Household soaps, detergents, cleaners, & cleaning supplies",34829055,4,0.0180
20190,Paper Goods,"Paper & related products, including paper towels, toilet tissue, wraps, bags, foils, etc.",32525440,4,0.0168
20200,"Clothing, Men’s","Men's wear, incl accessories",75516147,20,0.0078
20220,"Clothing, Women’s","Women's, juniors', & misses' wear, incl accessories",157720129,30,0.0109
20240,"Clothing, Children’s","Children's wear, incl boys', girls', & infants' & toddlers' clothing & accessories",37091820,15,0.0051
20250,"Clothing, Unisex",Costumes & unisex clothing,3459396,15,0.0005
20260,Footwear,"Footwear, incl accessories",63853988,60,0.0022
20270,Sewing,"Sewing, knitting, needlework goods, incl fabrics, patterns, sewing supplies, notions, yarns, laces, trimmings, needlework kits, etc.",5876842,15,0.0008
20280,Housewares,"Curtains, draperies, blinds, slipcovers, bed & table coverings",31726790,15,0.0044
20300,Appliances,Major household appliances,37122738,400,0.0002
20310,Personal Care,Small household appliances & personal care appliances,14033515,100,0.0003
20320,Television,"TVs, DVD/Blu-ray players & recorders, camcorders, portable video players, e-book readers,DVDs, Blu-ray Discs, etc.",39527331,150,0.0005
20330,Audio,"Audio equipment, musical instruments (new & used), radios, audio electronic components, CDs, records, tapes, audio books, sheet music, accessories",27765979,100,0.0006
20340,Furniture,"Furniture, sleep equipment & outdoor/patio furniture",71318336,400,0.0004
20360,Flooring,Flooring & floor coverings,27223406,120,0.0005
