"scan_id","store_id","scan_datetime","item_upc","unit_qty"
"01J47JVR5SDGVVAPRF8112KG1Q","6453","2024-08-01 14:21:37","18534777341","10"
"01J47JVRA1HSVMRAQBPMD575QA","1589","2024-08-01 14:22:15","12051289707","10"
"01J47JVRA2ZP3H1HCHAWWAMP88","6877","2024-08-01 14:21:36","15233603139","10"
"01J47JVRA3HYKT0RJ2YD97ECJS","2789","2024-08-01 14:21:58","19793116814","10"
"01J47JVRA4D11YGF22PAZ82ZNZ","2549","2024-08-01 14:22:25","15230859431","10"
"01J47JVRA55CG474ZAJ1SYPTSK","6421","2024-08-01 14:21:43","13053440349","10"
"01J47JVRA6Q6PKHBVXW3VCQ1A4","6669","2024-08-01 14:22:00","14814723691","10"
"01J47JVRA74PYNBZCM3E1AM786","5717","2024-08-01 14:22:30","14152823500","10"
"01J47JVRA8K6015360NQ98T0DF","5005","2024-08-01 14:21:53","15022659381","10"
"01J47JVRA83W4DDEV4QTT4CHBF","4669","2024-08-01 14:22:23","14483938100","10"
